구분,지역,유형,공고대수,접수대수,출고대수,잔여대수,날짜
승용,서울,우선,0,3381,3314,0,2025-10-01
승용,서울,법인,0,395,383,0,2025-10-01
승용,서울,택시,1200,1099,1031,169,2025-10-01
승용,서울,일반,9174,6125,5917,3257,2025-10-01
승용,부산,우선,1300,1872,1815,0,2025-10-01
승용,부산,법인,0,167,158,0,2025-10-01
승용,부산,택시,800,770,731,69,2025-10-01
승용,부산,일반,5700,3220,3119,2581,2025-10-01
승용,대구,우선,682,1375,1311,0,2025-10-01
승용,대구,법인,25,126,119,0,2025-10-01
승용,대구,택시,594,374,347,247,2025-10-01
승용,대구,일반,2079,2412,2258,0,2025-10-01
승용,인천,우선,0,2418,2340,0,2025-10-01
승용,인천,법인,0,160,150,0,2025-10-01
승용,인천,택시,0,255,235,0,2025-10-01
승용,인천,일반,6850,4085,3894,2956,2025-10-01
승용,광주,우선,0,674,625,0,2025-10-01
승용,광주,법인,0,51,44,0,2025-10-01
승용,광주,택시,0,258,213,0,2025-10-01
승용,광주,일반,2227,1332,1203,1024,2025-10-01
승용,대전,우선,0,939,878,0,2025-10-01
승용,대전,법인,0,68,60,0,2025-10-01
승용,대전,택시,0,216,200,0,2025-10-01
승용,대전,일반,2875,1665,1545,1330,2025-10-01
승용,울산,우선,0,722,706,0,2025-10-01
승용,울산,법인,0,36,35,0,2025-10-01
승용,울산,택시,0,144,136,0,2025-10-01
승용,울산,일반,2664,1127,1091,1573,2025-10-01
승용,세종,우선,0,143,142,0,2025-10-01
승용,세종,법인,0,5,5,0,2025-10-01
승용,세종,택시,0,6,6,0,2025-10-01
승용,세종,일반,150,202,198,0,2025-10-01
승용,수원,우선,83,86,86,0,2025-10-01
승용,수원,법인,0,2,2,0,2025-10-01
승용,수원,택시,47,77,76,0,2025-10-01
승용,수원,일반,1795,2009,1989,0,2025-10-01
승용,성남,우선,0,726,719,0,2025-10-01
승용,성남,법인,0,56,55,0,2025-10-01
승용,성남,택시,0,99,97,0,2025-10-01
승용,성남,일반,4265,1282,1255,3010,2025-10-01
승용,의정부,우선,73,162,151,0,2025-10-01
승용,의정부,법인,0,2,2,0,2025-10-01
승용,의정부,택시,73,28,24,49,2025-10-01
승용,의정부,일반,577,323,303,274,2025-10-01
승용,안양,우선,120,338,329,0,2025-10-01
승용,안양,법인,0,33,33,0,2025-10-01
승용,안양,택시,120,60,59,61,2025-10-01
승용,안양,일반,956,675,656,300,2025-10-01
승용,부천,우선,15,91,88,0,2025-10-01
승용,부천,법인,0,14,13,0,2025-10-01
승용,부천,택시,15,32,31,0,2025-10-01
승용,부천,일반,170,180,176,0,2025-10-01
승용,광명,우선,263,158,135,128,2025-10-01
승용,광명,법인,0,23,17,0,2025-10-01
승용,광명,택시,0,16,16,0,2025-10-01
승용,광명,일반,376,270,240,136,2025-10-01
승용,평택,우선,0,400,374,0,2025-10-01
승용,평택,법인,0,28,25,0,2025-10-01
승용,평택,택시,0,48,46,0,2025-10-01
승용,평택,일반,410,780,734,0,2025-10-01
승용,동두천,우선,40,38,36,4,2025-10-01
승용,동두천,법인,0,0,0,0,2025-10-01
승용,동두천,택시,32,3,3,29,2025-10-01
승용,동두천,일반,248,86,83,165,2025-10-01
승용,안산,우선,46,108,101,0,2025-10-01
승용,안산,법인,0,48,41,0,2025-10-01
승용,안산,택시,46,38,33,13,2025-10-01
승용,안산,일반,768,638,607,161,2025-10-01
승용,고양,우선,172,715,686,0,2025-10-01
승용,고양,법인,0,61,60,0,2025-10-01
승용,고양,택시,172,67,65,107,2025-10-01
승용,고양,일반,1376,1419,1364,12,2025-10-01
승용,과천,우선,0,98,96,0,2025-10-01
승용,과천,법인,0,3,2,0,2025-10-01
승용,과천,택시,30,5,5,25,2025-10-01
승용,과천,일반,320,127,124,196,2025-10-01
승용,구리,우선,0,118,115,0,2025-10-01
승용,구리,법인,0,7,7,0,2025-10-01
승용,구리,택시,40,26,24,16,2025-10-01
승용,구리,일반,370,229,214,156,2025-10-01
승용,남양주,우선,100,557,550,0,2025-10-01
승용,남양주,법인,0,42,42,0,2025-10-01
승용,남양주,택시,80,29,29,51,2025-10-01
승용,남양주,일반,1364,968,946,418,2025-10-01
승용,오산,우선,0,188,176,0,2025-10-01
승용,오산,법인,0,21,19,0,2025-10-01
승용,오산,택시,52,18,16,36,2025-10-01
승용,오산,일반,455,472,442,13,2025-10-01
승용,시흥,우선,0,223,221,0,2025-10-01
승용,시흥,법인,0,36,35,0,2025-10-01
승용,시흥,택시,0,40,39,0,2025-10-01
승용,시흥,일반,1232,729,716,516,2025-10-01
승용,군포,우선,50,134,133,0,2025-10-01
승용,군포,법인,0,16,16,0,2025-10-01
승용,군포,택시,50,16,15,35,2025-10-01
승용,군포,일반,433,245,232,201,2025-10-01
승용,의왕,우선,39,125,118,0,2025-10-01
승용,의왕,법인,0,7,7,0,2025-10-01
승용,의왕,택시,39,12,10,29,2025-10-01
승용,의왕,일반,312,230,215,97,2025-10-01
승용,하남,우선,112,100,99,13,2025-10-01
승용,하남,법인,0,19,18,0,2025-10-01
승용,하남,택시,112,12,12,100,2025-10-01
승용,하남,일반,889,811,774,115,2025-10-01
승용,용인,우선,1298,976,901,397,2025-10-01
승용,용인,법인,0,66,58,0,2025-10-01
승용,용인,택시,300,68,66,234,2025-10-01
승용,용인,일반,2386,1709,1577,809,2025-10-01
승용,파주,우선,150,226,215,0,2025-10-01
승용,파주,법인,0,51,48,0,2025-10-01
승용,파주,택시,150,27,24,126,2025-10-01
승용,파주,일반,1251,1328,1212,39,2025-10-01
승용,이천,우선,0,222,214,0,2025-10-01
승용,이천,법인,0,15,14,0,2025-10-01
승용,이천,택시,50,19,19,31,2025-10-01
승용,이천,일반,650,369,350,300,2025-10-01
승용,안성,우선,47,35,27,20,2025-10-01
승용,안성,법인,0,20,18,0,2025-10-01
승용,안성,택시,38,4,4,34,2025-10-01
승용,안성,일반,484,364,300,184,2025-10-01
승용,김포,우선,0,456,435,0,2025-10-01
승용,김포,법인,0,40,38,0,2025-10-01
승용,김포,택시,0,16,16,0,2025-10-01
승용,김포,일반,1731,754,732,999,2025-10-01
승용,화성,우선,474,479,474,0,2025-10-01
승용,화성,법인,0,101,89,0,2025-10-01
승용,화성,택시,0,81,78,0,2025-10-01
승용,화성,일반,4245,2669,2348,1897,2025-10-01
승용,광주(경기),우선,0,298,291,0,2025-10-01
승용,광주(경기),법인,0,27,24,0,2025-10-01
승용,광주(경기),택시,0,24,23,0,2025-10-01
승용,광주(경기),일반,1000,639,608,392,2025-10-01
승용,양주,우선,70,216,214,0,2025-10-01
승용,양주,법인,11,12,12,0,2025-10-01
승용,양주,택시,70,7,7,63,2025-10-01
승용,양주,일반,547,456,454,93,2025-10-01
승용,포천,우선,36,36,34,2,2025-10-01
승용,포천,법인,0,19,19,0,2025-10-01
승용,포천,택시,36,24,24,12,2025-10-01
승용,포천,일반,298,154,151,147,2025-10-01
승용,여주,우선,42,70,70,0,2025-10-01
승용,여주,법인,0,13,13,0,2025-10-01
승용,여주,택시,42,4,4,38,2025-10-01
승용,여주,일반,328,197,191,137,2025-10-01
승용,연천,우선,11,31,30,0,2025-10-01
승용,연천,법인,0,7,7,0,2025-10-01
승용,연천,택시,11,1,0,11,2025-10-01
승용,연천,일반,82,68,67,15,2025-10-01
승용,가평,우선,16,42,42,0,2025-10-01
승용,가평,법인,0,3,3,0,2025-10-01
승용,가평,택시,16,3,3,13,2025-10-01
승용,가평,일반,128,97,93,35,2025-10-01
승용,양평,우선,0,113,106,0,2025-10-01
승용,양평,법인,0,3,3,0,2025-10-01
승용,양평,택시,0,20,20,0,2025-10-01
승용,양평,일반,400,218,203,197,2025-10-01
승용,춘천,우선,0,109,109,0,2025-10-01
승용,춘천,법인,0,13,13,0,2025-10-01
승용,춘천,택시,0,32,32,0,2025-10-01
승용,춘천,일반,100,489,487,0,2025-10-01
승용,원주,우선,50,250,250,0,2025-10-01
승용,원주,법인,0,7,7,0,2025-10-01
승용,원주,택시,50,55,55,0,2025-10-01
승용,원주,일반,900,509,503,397,2025-10-01
승용,강릉,우선,34,38,37,0,2025-10-01
승용,강릉,법인,0,13,11,0,2025-10-01
승용,강릉,택시,23,14,13,10,2025-10-01
승용,강릉,일반,411,341,320,91,2025-10-01
승용,동해,우선,10,24,22,0,2025-10-01
승용,동해,법인,0,2,2,0,2025-10-01
승용,동해,택시,10,11,11,0,2025-10-01
승용,동해,일반,154,120,115,39,2025-10-01
승용,태백,우선,6,26,26,0,2025-10-01
승용,태백,법인,0,2,2,0,2025-10-01
승용,태백,택시,6,6,6,0,2025-10-01
승용,태백,일반,71,49,49,22,2025-10-01
승용,속초,우선,10,26,23,0,2025-10-01
승용,속초,법인,0,0,0,0,2025-10-01
승용,속초,택시,10,8,6,4,2025-10-01
승용,속초,일반,118,79,74,44,2025-10-01
승용,삼척,우선,0,32,32,0,2025-10-01
승용,삼척,법인,0,2,2,0,2025-10-01
승용,삼척,택시,0,3,2,0,2025-10-01
승용,삼척,일반,140,44,42,98,2025-10-01
승용,홍천,우선,15,23,23,0,2025-10-01
승용,홍천,법인,0,5,5,0,2025-10-01
승용,홍천,택시,15,0,0,15,2025-10-01
승용,홍천,일반,119,78,74,45,2025-10-01
승용,횡성,우선,0,10,9,0,2025-10-01
승용,횡성,법인,0,2,2,0,2025-10-01
승용,횡성,택시,0,0,0,0,2025-10-01
승용,횡성,일반,76,45,44,32,2025-10-01
승용,영월,우선,0,6,5,0,2025-10-01
승용,영월,법인,0,1,1,0,2025-10-01
승용,영월,택시,0,0,0,0,2025-10-01
승용,영월,일반,60,51,49,11,2025-10-01
승용,평창,우선,7,13,13,0,2025-10-01
승용,평창,법인,0,3,2,0,2025-10-01
승용,평창,택시,7,0,0,7,2025-10-01
승용,평창,일반,48,38,34,14,2025-10-01
승용,정선,우선,5,18,17,0,2025-10-01
승용,정선,법인,0,3,3,0,2025-10-01
승용,정선,택시,5,0,0,5,2025-10-01
승용,정선,일반,45,36,31,14,2025-10-01
승용,철원,우선,0,20,19,0,2025-10-01
승용,철원,법인,0,1,1,0,2025-10-01
승용,철원,택시,0,0,0,0,2025-10-01
승용,철원,일반,50,39,39,11,2025-10-01
승용,화천,우선,3,8,6,0,2025-10-01
승용,화천,법인,0,1,1,0,2025-10-01
승용,화천,택시,3,1,1,2,2025-10-01
승용,화천,일반,21,19,13,8,2025-10-01
승용,양구,우선,0,14,13,0,2025-10-01
승용,양구,법인,0,1,1,0,2025-10-01
승용,양구,택시,0,3,2,0,2025-10-01
승용,양구,일반,45,23,22,23,2025-10-01
승용,인제,우선,7,18,17,0,2025-10-01
승용,인제,법인,0,3,3,0,2025-10-01
승용,인제,택시,7,2,2,5,2025-10-01
승용,인제,일반,56,36,33,23,2025-10-01
승용,고성,우선,2,12,12,0,2025-10-01
승용,고성,법인,0,0,0,0,2025-10-01
승용,고성,택시,2,1,0,2,2025-10-01
승용,고성,일반,30,20,18,12,2025-10-01
승용,양양,우선,0,9,9,0,2025-10-01
승용,양양,법인,0,1,1,0,2025-10-01
승용,양양,택시,0,5,5,0,2025-10-01
승용,양양,일반,51,17,16,35,2025-10-01
승용,청주,우선,1288,591,519,769,2025-10-01
승용,청주,법인,431,49,43,388,2025-10-01
승용,청주,택시,431,153,126,305,2025-10-01
승용,청주,일반,2303,2089,1839,464,2025-10-01
승용,충주,우선,96,245,230,0,2025-10-01
승용,충주,법인,0,16,16,0,2025-10-01
승용,충주,택시,96,22,21,75,2025-10-01
승용,충주,일반,1142,521,467,675,2025-10-01
승용,제천,우선,80,140,117,0,2025-10-01
승용,제천,법인,0,10,8,0,2025-10-01
